id,file_name,gardiner_code,category,meaning
160,𓃙,E8,E,Kid
161,𓃚,E9,E,Newborn bubalis
162,𓃛,E10,E,Ram
163,𓃞,E11,E,Ram
164,𓃟,E12,E,Pig
165,𓃠,E13,E,Cat
166,𓃡,E14,E,Dog
167,𓃢,E15,E,Recumbent Jackal
168,𓃣,E16,E,Recumbent Jackal on shrine
169,𓃥,E17,E,Jackal
170,𓃧,E18,E,Jackal on standard R12
171,𓃨,E19,E,O.K. form of last
172,𓃩,E20,E,Seth animal
173,𓃫,E21,E,Recumbent Seth animal
174,𓃬,E22,E,Lion
175,𓃭,E23,E,Recumbent Lion
176,𓃮,E24,E,Panther
177,𓃯,E25,E,Hippopotamus
178,𓃰,E26,E,Elephant
179,𓃱,E27,E,Giraffe
180,𓃲,E28,E,Oryx
181,𓃴,E29,E,Gazelle
182,𓃵,E30,E,Ibex
183,𓃶,E31,E,Goat with collar
184,𓃷,E32,E,Baboon
185,𓃸,E33,E,Monkey
186,𓃹,E34,E,Hare
187,,,,
188,𓃾,F1,F,Head of ox
189,𓄀,F2,F,Head of charging ox
190,𓄁,F3,F,Head of hippopotamus
191,𓄂,F4,F,Forepart of lion
192,𓄃,F5,F,Head of bubalis
193,𓄄,F6,F,Forepart of bubalis
194,𓄅,F7,F,Head of ram
195,𓄆,F8,F,Forepart of ram
196,𓄇,F9,F,Head of leopard
197,𓄈,F10,F,Head and neck of animal
198,𓄉,F11,F,O.K. form of F10
199,𓄊,F12,F,Head and neck of jackal
200,𓄋,F13,F,Horns of ox
201,𓄍,F14,F,Combination of F13 and M4
202,𓄎,F15,F,Combination of F14 and N5
203,𓄏,F16,F,Horn
204,𓄐,F17,F,Combination of F16 and D60 water vessel
205,𓄑,F18,F,Tusk of elephant
206,𓄒,F19,F,Jawbone of ox
207,𓄓,F20,F,Tongue
208,𓄔,F21,F,Ear of ox
209,𓄖,F22,F,Hindquarters of leopard or lion
210,𓄗,F23,F,Foreleg of ox
211,𓄘,F24,F,Reverse of F23
212,𓄙,F25,F,Leg and hoof of ox
213,𓄚,F26,F,Goatskin
214,𓄛,F27,F,Cowskin
215,𓄜,F28,F,Var. of F27
216,𓄝,F29,F,Combination of F28 + arrow
217,𓄞,F30,F,Water skin
218,𓄟,F31,F,Three fox skins
219,𓄡,F32,F,Animal belly and tail
220,𓄢,F33,F,Tail
221,𓄣,F34,F,Heart
222,𓄤,F35,F,Heart and windpipe
223,𓄥,F36,F,Lung and windpipe
224,𓄦,F37,F,Backbone and ribs
225,𓄨,F38,F,Var. of F37
226,𓄪,F39,F,Backbone and spinal cord
227,𓄫,F40,F,Backbone and spinal cord at each end
228,𓄬,F41,F,Vertebrae
229,𓄭,F42,F,Rib
230,𓄮,F43,F,Ribs
231,𓄯,F44,F,Leg bone with meat
232,𓄰,F45,F,Heifer uterus
233,𓄲,F46,F,Intestine
234,𓄴,F47,F,Var. of F46
235,𓄶,F48,F,Var. of F46
236,𓄷,F49,F,Var. of F46
237,𓄸,F50,F,Combination of F46 and S29
238,𓄹,F51,F,Piece of flesh
239,𓄽,F52,F,Excrement
240,,,,
241,𓄿,G1,G,Vulture
242,𓅀,G2,G,Two Vultures
243,𓅁,G3,G,Combination of G1 + U1
244,𓅂,G4,G,Buzzard
245,𓅃,G5,G,Falcon
246,𓅄,G6,G,Falcon with flail
247,𓅆,G7,G,Falcon on standard
248,𓅇,G7a,G,"Var of G7, Falcon in boat"
249,𓅈,G7b,G,"Var of G7, G7a"
250,𓅉,G8,G,Combination of G5 + S12
251,𓅊,G9,G,Falcon with sun disk
252,𓅋,G10,G,Falcon in sacred bark
253,𓅌,G11,G,Falcon image
254,𓅎,G12,G,Falcon image with flail
255,𓅏,G13,G,Falcon image with S9
256,𓅐,G14,G,Vulture
257,𓅑,G15,G,Vulture with flail
258,𓅒,G16,G,Nehkbet and Edjo
259,𓅓,G17,G,Owl
260,𓅔,G18,G,Two Owls
261,𓅕,G19,G,Combination of G17 + D37
262,𓅖,G20,G,Combination of G17 + D36
263,𓅘,G21,G,Guinea fowl
264,𓅙,G22,G,Hoopoe
265,𓅚,G23,G,Lapwing
266,𓅛,G24,G,Var. of G23
267,𓅜,G25,G,Crested Ibis
268,𓅝,G26,G,Sacred ibis on standard
269,𓅞,G26a,G,Sacred ibis
270,𓅟,G27,G,Flamingo
271,𓅠,G28,G,Black ibis
272,𓅡,G29,G,Jabiru
273,𓅢,G30,G,Three jabirus
274,𓅣,G31,G,Heron
275,𓅤,G32,G,Heron on perch
276,𓅥,G33,G,Egret
277,𓅦,G34,G,Ostrich
278,𓅧,G35,G,Cormorant
279,𓅨,G36,G,Swallow
280,𓅪,G37,G,Sparrow
281,𓅬,G38,G,Goose
282,𓅭,G39,G,Duck
283,𓅮,G40,G,Duck flying
284,𓅯,G41,G,Duck landing
285,𓅰,G42,G,Fattened bird
286,𓅱,G43,G,"Quail chick, var. Z7"
287,𓅳,G44,G,Two quail chicks
288,𓅴,G45,G,Combination of G43 + D36
289,𓅶,G46,G,Combination of G43 + U1
290,𓅷,G47,G,Duckling
291,𓅸,G48,G,Three ducklings in nest
292,𓅹,G49,G,Ducks’ heads protruding from pool
293,𓅺,G50,G,Two plovers
294,𓅻,G51,G,Bird pecking fish
295,𓅼,G52,G,Goose feeding
296,𓅽,G53,G,Human headed bird
297,𓅾,G54,G,Plucked bird
298,,,,
299,𓅿,H1,H,Head of duck
300,𓆀,H2,H,Head of crested bird
301,𓆁,H3,H,Head of spoonbill
302,𓆂,H4,H,Head of vulture
303,𓆃,H5,H,Wing
304,𓆄,H6,H,Feather
305,𓆆,H7,H,Claw
306,𓆇,H8,H,Egg
307,,,,
308,𓆈,I1,I,Lizard
309,𓆉,I2,I,Turtle
310,𓆊,I3,I,Crocodile
311,𓆋,I4,I,Crocodile on shrine
312,𓆌,I5,I,Crocodile with curved tail
313,𓆎,I6,I,Crocodile scales
314,𓆏,I7,I,Frog
315,𓆐,I8,I,Tadpole
316,𓆑,I9,I,Horned viper
317,𓆓,I10,I,Cobra
318,𓆕,I11,I,Two cobras
319,𓆗,I12,I,Erect cobra
320,𓆘,I13,I,Combination of I12 + V30
321,𓆙,I14,I,Snake
322,𓆚,I15,I,Var. of I15
323,,,,
324,𓆛,K1,K,Bulti fish
325,𓆜,K2,K,Barbel fish
326,𓆝,K3,K,Mullet fish
327,𓆞,K4,K,Oxyrhynchus fish
328,𓆟,K5,K,Pike fish
329,𓆠,K6,K,Fish scale
330,𓆡,K7,K,Blowfish
331,,,,
332,𓆣,L1,L,Scarab beetle
333,𓆤,L2,L,Bee
334,𓆦,L3,L,Fly
335,𓆧,L4,L,Locust
336,𓆨,L5,L,Centipede
337,𓆩,L6,L,Shell
338,𓆫,L7,L,Scorpion
339,,,,
340,𓆭,M1,M,Tree
341,𓆰,M2,M,Plant
342,𓆱,M3,M,Branch
343,𓆳,M4,M,Stripped palm branch
344,𓆴,M5,M,Combination of M4 + X1
345,𓆵,M6,M,Combination of M4 + D21
346,𓆶,M7,M,Combination of M4 + Q3
347,𓆷,M8,M,Pool with lilies
348,𓆸,M9,M,Lily
349,𓆹,M10,M,Lily bud
350,𓆻,M11,M,Flower and stem
351,𓆼,M12,M,Lily plant
352,𓇅,M13,M,Papyrus stem
353,𓇆,M14,M,Combination of M13 and I10
354,𓇇,M15,M,Papyrus clump with downward facing buds.
355,𓇉,M16,M,Papyrus clump
356,𓇋,M17,M,Reed leaf
357,𓇍,M18,M,Combination of M17 + D54
358,𓇎,M19,M,Conical cakes between signs M17 and U36
359,𓇏,M20,M,Reed field
360,𓇐,M21,M,Reed field with root
361,𓇑,M22,M,Rush with shoots
362,𓇓,M23,M,Sedge
363,𓇔,M24,M,Combination of M23 + D21
364,𓇖,M25,M,Combination of M26 + M24
365,𓇗,M26,M,Sedge
366,𓇘,M27,M,Combination of M26 + D36
367,𓇙,M28,M,Combination of M26 + V20
368,𓇛,M29,M,Pod
369,𓇜,M30,M,Root
370,𓇝,M31,M,Rhizome
371,𓇟,M32,M,Var of M31
372,𓇠,M33,M,Grain
373,𓇣,M34,M,Emmer sheaf
374,𓇤,M35,M,Grain heap
375,𓇥,M36,M,Flax bundle
376,𓇦,M37,M,Flax bundle with stems
377,𓇧,M38,M,Flax bundle
378,𓇨,M39,M,Basket of fruit or grain
379,𓇩,M40,M,Reed bundle
380,𓇫,M41,M,Wood log
381,𓇬,M42,M,Flower
382,𓇭,M43,M,Grape vines on props
383,𓇮,M44,M,Thorn
384,,,,
385,𓇯,N1,N,Sky
386,𓇰,N2,N,Sky with broken S40
387,𓇱,N3,N,Var. of N2
388,𓇲,N4,N,Sky with rain
389,𓇳,N5,N,Sun
390,𓇴,N6,N,Sun with uraeus
391,𓇵,N7,N,Combination of N5 + T28
392,𓇶,N8,N,Sun with rays
393,𓇷,N9,N,Moon
394,𓇸,N10,N,Var of N9
395,𓇹,N11,N,Crescent moon
396,𓇺,N12,N,Var. of N11
397,𓇻,N13,N,Combination of half of N11 and N14
398,𓇼,N14,N,Star
399,𓇽,N15,N,Star encircled
400,𓇾,N16,N,Flat land with grain
401,𓇿,N17,N,Var. of N16
402,𓈀,N18,N,Strip of sand
403,𓈃,N19,N,Two strips of sand
404,𓈄,N20,N,Tongue of land
405,𓈅,N21,N,Tongue of land
406,𓈆,N22,N,Tongue of land
407,𓈇,N23,N,Canal
408,𓈈,N24,N,Irrigation canal system
409,𓈉,N25,N,Mountain rande
410,𓈋,N26,N,Mountain
411,𓈌,N27,N,Sunrise over mountain
412,𓈍,N28,N,Hill with sun rays
413,𓈎,N29,N,Sandy slope
414,𓈏,N30,N,Hill with shrubs
415,𓈐,N31,N,Road bordered by shrubs
416,𓈑,N32,N,"Lump of clay, Var. Aa2 and F52."
417,𓈒,N33,N,Grain of sand
418,𓈔,N34,N,Metal Ingot
419,𓈖,N35,N,Water ripple
420,𓈗,N35a,N,Three ripples
421,𓈘,N36,N,Canal
422,𓈙,N37,N,Pool
423,𓈛,N38,N,Var. of N37
424,𓈜,N39,N,Var. of N37
425,𓈝,N40,N,Combination of N37 and D54
426,𓈞,N41,N,Well with water
427,𓈟,N42,N,Var. of N41
428,,,,
429,𓉐,O1,O,House plan
430,𓉒,O2,O,Combination of O1 + T3
431,𓉓,O3,O,Combination of O1 + P8 + X3 + W22
432,𓉔,O4,O,Reed shelter
433,𓉕,O5,O,Winding wall
434,𓉗,O6,O,Plan of rectangular enclosure
435,𓉞,O7,O,Var of O6
436,𓉟,O8,O,Combination of O7 + O29
437,𓉠,O9,O,Combination of O7 + O30
438,𓉡,O10,O,Combination of O6 + G5
439,𓉥,O12,O,Palace with battlements
440,𓉦,O13,O,Enclosure with battlements
441,𓉧,O14,O,Var. of O13
442,𓉨,O15,O,Walled enclosure with buttresses + W10 + X1
443,𓉩,O16,O,Gateway with serpents
444,𓉪,O17,O,Var. of O16
445,𓉫,O18,O,Shrine in profile
446,𓉬,O19,O,Shrine in profile with poles
447,𓉭,O20,O,Shrine
448,𓉯,O21,O,Shrine Facade
449,𓉱,O22,O,Booth supported by pole
450,𓉲,O23,O,Double platform
451,𓉳,O24,O,Pyramid surrounded by wall
452,𓉴,O25,O,Obelisk
453,𓉶,O26,O,Stela
454,𓉸,O27,O,Hall with columns
455,𓉹,O28,O,Column with tenon
456,𓉺,O29,O,Wood column
457,𓉼,O29V,O,Vertical wood column
458,𓉽,O30,O,Supporting pole
459,𓉿,O31,O,Door
460,𓊀,O32,O,Gateway
461,𓊁,O33,O,Palace or tomb facade
462,𓊃,O34,O,Door bolt
463,𓊄,O35,O,Combination of O34 + D54
464,𓊅,O36,O,Wall
465,𓊊,O37,O,Falling wall
466,𓊋,O38,O,Corner of wall
467,𓊌,O39,O,Stone slab
468,𓊍,O40,O,Stairway
469,𓊎,O41,O,Double stairway
470,𓊏,O42,O,Fence
471,𓊐,O43,O,Var. of O42
472,𓊑,O44,O,Min emblem
473,𓊒,O45,O,Domed building
474,𓊓,O46,O,Var. of O45
475,𓊔,O47,O,Enclosed mound
476,𓊕,O48,O,Var. of O47
477,𓊖,O49,O,Area with crossroads
478,𓊗,O50,O,Threshing floor with grain
479,𓊚,O51,O,Grain mound on mud floor
480,,,,
481,𓊛,P1,P,Boat on water
482,𓊜,P1a,P,Boat upside down
483,𓊝,P2,P,Ship sailing
484,𓊞,P3,P,Sacred bark
485,𓊠,P4,P,Boat with net
486,𓊡,P5,P,Sail
487,𓊢,P6,P,Mast
488,𓊣,P7,P,Combination of P6 +D36
489,𓊤,P8,P,Oar
490,𓊥,P9,P,Combination of P8 + I9
491,𓊦,P10,P,Steering oar
492,𓊧,P11,P,Mooring post
493,,,,
494,𓊨,Q1,Q,Seat
495,𓊩,Q2,Q,Portable seat
496,𓊪,Q3,Q,Stool
497,𓊫,Q4,Q,Headrest
498,𓊬,Q5,Q,Chest
499,𓊭,Q6,Q,Coffin
500,𓊮,Q7,Q,Brazier with flame
501,,,,
502,𓊯,R1,R,Table with jug and loaves
503,𓊰,R2,R,Table with bread slices
504,𓊲,R3,R,Low table with Jug and loaves
505,𓊵,R4,R,Bread loaf on mat
506,𓊶,R5,R,Censer
507,𓊷,R6,R,Var. of R5
508,𓊸,R7,R,Incense bowl
509,𓊹,R8,R,Flag
510,𓊺,R9,R,Combination of R8 + V33
511,𓊻,R10,R,Combination of R8 + T28 + N29
512,𓊽,R11,R,Reed column
513,𓊾,R12,R,Standard
514,𓊿,R13,R,Combination of G5 + R14
515,𓋀,R14,R,Var of R13
516,𓋁,R15,R,Spear as standard
517,𓋂,R16,R,Scepter with feathers
518,𓋄,R17,R,Feathered wig with pole
519,𓋅,R18,R,Var. of R17
520,𓋆,R19,R,Combination of S40 + feather
521,𓋇,R20,R,Seshat emblem
522,𓋈,R21,R,Var. of R20
523,𓋉,R22,R,Min emblem
524,𓋊,R23,R,Var. of R22
525,𓋋,R24,R,Neith emblem
526,𓋌,R25,R,Var. of R24
527,,,,
528,𓋑,S1,S,White crown of Upper Egypt
529,𓋒,S2,S,Combination of S1 + V30
530,𓋔,S3,S,Red crown of Lower Egypt
531,𓋕,S4,S,Combination of S3 + V30
532,𓋖,S5,S,Combination of red and white crown
533,𓋗,S6,S,Combination of S5 + V30
534,𓋙,S7,S,Blue Crown
535,𓋚,S8,S,Atef crown
536,𓋛,S9,S,Double plumes
537,𓋜,S10,S,Headband
538,𓋝,S11,S,Collar
539,𓋞,S12,S,Collar of beads
540,𓋟,S13,S,Combination of S12 + D58
541,𓋠,S14,S,Combination of S12 + T3
542,𓋡,S14a,S,Combination of S12 + S40
543,𓋣,S15,S,Faience pectoral
544,𓋤,S16,S,Var. of S15
545,𓋥,S17,S,Var of S15
546,𓋧,S18,S,Bead necklace
547,𓋨,S19,S,Necklace and cylinder seal
548,𓋩,S20,S,Necklace and cylinder seal
549,𓋪,S21,S,Ring
550,𓋫,S22,S,Shoulder knot
551,𓋬,S23,S,Knotted cloth
552,𓋭,S24,S,Knotted belt
553,𓋮,S25,S,Garment with ties
554,𓋯,S26,S,Apron
555,𓋲,S27,S,Horizontal strips of cloth
556,𓋳,S28,S,Cloth with fringe + S29
557,𓋴,S29,S,Folded cloth
558,𓋵,S30,S,Combination of S29 + I9
559,𓋶,S31,S,Combination of S29 + U1
560,𓋷,S32,S,Cloth iwht fringe
561,𓋸,S33,S,Sandal
562,𓋹,S34,S,Sandal strap
563,𓋺,S35,S,Sunshade
564,𓋼,S36,S,Var. of S35
565,𓋽,S37,S,Fan
566,𓋾,S38,S,Crook
567,𓋿,S39,S,Crook
568,𓌀,S40,S,Scepter with Seth animal
569,𓌁,S41,S,Scepter with spiral shaft and Seth animal
570,𓌂,S42,S,Scepter
571,𓌃,S43,S,Staff
572,𓌄,S44,S,Staff with flail
573,𓌅,S45,S,Flail
574,,,,
575,𓌇,T1,T,Angular headed mace
576,𓌈,T2,T,T3 tilted
577,𓌉,T3,T,Pear shaped mace
578,𓌋,T4,T,Var of T3
579,𓌌,T5,T,Combination of T3 + I10
580,𓌍,T6,T,Combination of T5 + extra I10
581,𓌎,T7,T,Axe
582,𓌏,T7a,T,Axe
583,𓌐,T8,T,Dagger
584,𓌑,T8a,T,Dagger
585,𓌒,T9,T,Bow
586,𓌓,T9a,T,Var of T9
587,𓌔,T10,T,Composite bow
588,𓌕,T11,T,Arrow
589,𓌗,T12,T,Bowstring
590,𓌘,T13,T,Wood tied together
591,𓌙,T14,T,Throw stick
592,𓌚,T15,T,Var. of T14
593,𓌛,T16,T,Scimitar
594,𓌝,T17,T,Chariot
595,𓌞,T18,T,Crook with package
596,𓌟,T19,T,Bone harpoon head
